model,language,hypothesis,roi_family,mean_delta_mid,se,dz,p_perm,p_holm_primary,ci_low,ci_high,n_subjects
xlmr,en,H1_shared_gt_specific_semantic,semantic,0.06087377954913817,0.006519625680060254,1.676975657494071,9.999000099990002e-05,0.0011998800119988001,0.048326055726213984,0.07384632697844488,31
xlmr,en,H2_semantic_minus_auditory,semantic_minus_auditory,-0.003786208722172102,0.0063656650663629,-0.10682672650741103,0.7234276572342766,1.0,-0.016061286842590467,0.008666437400372614,31
xlmr,fr,H1_shared_gt_specific_semantic,semantic,0.05893581013814009,0.00564267925219503,1.9738533261099906,9.999000099990002e-05,0.0011998800119988001,0.04840295639544512,0.06974527583067534,28
xlmr,fr,H2_semantic_minus_auditory,semantic_minus_auditory,-0.022814595769610035,0.004991407888492007,-0.8637950313437914,1.0,1.0,-0.03288239511023339,-0.013292723917426412,28
xlmr,zh,H1_shared_gt_specific_semantic,semantic,0.0324404058522263,0.0035708206522513963,1.5356216232166386,9.999000099990002e-05,0.0011998800119988001,0.025542507638244887,0.03928737108848908,35
xlmr,zh,H2_semantic_minus_auditory,semantic_minus_auditory,0.0013414285898578325,0.003984264548608512,0.05690957848312388,0.36336366363363665,1.0,-0.006471786124633654,0.0090538140581323,35
nllb_encoder,en,H1_shared_gt_specific_semantic,semantic,0.041453321703132935,0.004738963353116533,1.5710685670544313,9.999000099990002e-05,0.0011998800119988001,0.032296608404793425,0.05048462885142101,31
nllb_encoder,en,H2_semantic_minus_auditory,semantic_minus_auditory,-0.005935669454229777,0.0045162124837243856,-0.23605570129837625,0.9008099190080991,1.0,-0.014738545194913227,0.002812004926915341,31
nllb_encoder,fr,H1_shared_gt_specific_semantic,semantic,0.04286389863482987,0.004614487244313754,1.7554529897767386,9.999000099990002e-05,0.0011998800119988001,0.033978641730896104,0.051739678014497546,28
nllb_encoder,fr,H2_semantic_minus_auditory,semantic_minus_auditory,-0.0074162598721194805,0.004100003547234373,-0.3418390645242145,0.9586041395860414,1.0,-0.015238740096921803,0.00048979776335703,28
nllb_encoder,zh,H1_shared_gt_specific_semantic,semantic,0.01935106845916497,0.003200775996581622,1.0219170513195903,9.999000099990002e-05,0.0011998800119988001,0.01322006705184232,0.025545904736402805,35
nllb_encoder,zh,H2_semantic_minus_auditory,semantic_minus_auditory,0.0068570259216881296,0.003866775634093065,0.2997455855158609,0.0425957404259574,0.2555744425557444,-0.0009287023974668626,0.014316197356644283,35
